Advanced Pet Diets Select Choice
Puppy Chicken Meal and Rice	402
Chicken Meal and Rice	393
Chicken Meal and Rice Lite	298
Lamb Meal and Rice	360
Lamb Meal and Rice Renew Skin and Coat	349
Lamb Meal and Rice Senior Formula	348

Annamaet
ENCORE	414
OPTION	406
EXTRA	415
ADULT	365
ULTRA	480

Artemis Fresh Mix
Small Breed Puppy	348
Medium/Large Breed Puppy	327
Adult	336
Small Breed Adult	345
Weight Management	308
Maximal Dog	420
Small Breed Adult	345
Small Breed Senior Dog	321
Medium/Large Breed Senior Dog	320

Artemis – additional products
A GaRx Immune Support	337
Power Formula	386
Osopure Power Formula	387
Osopure Small Breed Puppy	387
Osopure Small Breed Adult	368
Osopure Med/Lrg Breed Dog	345

AvoDerm Natural
Chicken Meal & Brown Rice Formula Puppy	372
Chicken Mean & Brown Rice Large Breed Puppy	362
Chicken Meal & Brown Rice Formula Adult	360
Lamb Meal & Brown rice Formula Adult	360
Vegetarian Adult	324
Brown Rice, Oatmeal & Chicken Meal Weight Control	298
Chicken Meal & Brown Rice Senior	340
Large Breed Adult Chicken Meal & Brown Rice Formula	354
Chicken Meal and Brown Rice Small Breed Puppy	363
Chicken Meal and Brown Rice Small Breed Adult	354
Triple Protein Meal Formula	360
Grain Free Salmon Meal & Potato	360
Grain Free Red Meat Meal & Potato	360


AvoDerm Natural Oven-Baked
Original w/ Beef Meal	430
Original Beef Meal Small Bites	430
Lamb and Brown Rice	486
Chicken Meal with Brown Rice Adult	360

B.G. ~ Before Grain
Chicken	385
Buffalo	383
Salmon	383

Beneful
Healthy Growth	390
Original	360
Healthy Weight	306
Healthy Radiance	375
Healthy Harvest	345
Healthy Fiesta	342
IncrediBites	322
Playful Life	360

Beowulf Back to Basics
Chicken	441
Pork	441

Blue Buffalo Life Protection Formula w/ LifeSource Bites
Puppy Chicken & Brown Rice	452
Puppy Lamb & Oatmeal	430
Puppy Large Breed Chicken & Brown Rice	450
Chicken and Brown Rice Adult	442
Fish and Sweet Potato Adult	440
Lamb and Brown Rice Adult	419
Healthy Weight Recipe Chicken & Brown Rice	415
Small Breed	452
Large Breed Adult Chicken & Brown Rice	435
Large Breed Adult Fish & Oatmeal	420
Large Breed Adult Healthy Weight Chicken & Brown Rice	410
Small Breed Puppy Chicken & Oatmeal	460
Senior Chicken & Brown Rice	430
Large Breed Senior Chicken and Brown Rice	414
Small Breed Senior Chicken and Brown Rice	432


Blue Wilderness
Wildernes Puppy Chicken Recipe	438
Wilderness Duck Recipe	410
Wilderness Chicken Recipe	410
Wilderness Salmon Recipe	415
Healthy Weight	396
Wilderness Small Breed Chicken	423
Wilderness Large Breed Chicken	414


Breeder’s Choice Active Care
Lamb Meal and Brown Rice	365
Chicken Meal and Brown Rice	380


Breeder’s Choice Health Food for Dogs
Premium Dry for Puppies & Adults	400

By Nature Natural Dog Food
Puppy Formula	465
Adult Formula	390
Active Formula	440
Pork & Sweet Potato Flavor	385
Salmon, Ocean Fish & Yogurt Flavor	400
Duck & Sweet Peas Flavor	400
Chicken & Potato (grain free)	465
Large Breed Adult	380

By Nature Organic Dog Foods
Chicken	350

Butcher’s Burger (pouches)
Beef, Bacon & Cheese	468

California Natural
Chicken Meal & Rice – puppy	466
Lamb Meal & Rice – puppy	535
Lamb Meal & Rice – Large Bites	430
Lamb Meal & Rice – Small Bites	430
Chicken Meal & Rice	511
Low Fat Rice & Lamb Meal	317
Low Fat Rice & Chicken Meal	391
Herring & Sweet Potato	419
Chicken Meal & Brown Rice Senior	354
Grain Free Chicken Meal	454
Grain Free Lamb Meal Adult	450
Grain Free Venison Meal Adult	463

Canidae
All Life Stages (ALS)	468
Chicken Meal & Rice	468
Lamb Meal & Rice	457
Platinum (senior & overweight)	330
Beef & Fish	457

Canidae Grain-Free and Low-Grain Products
Grain Free Pure Elements	498
Grain Free Puresky	501
Grain Free Purland	473
Grain Free Puresea	498
Single Grain Protein Plus Formula	464

Chef Michael’s Canine Creations
Rotisserie Chicken Flavor and Pea & Carrot Garnishes	280
