Midway Road Clinic,12700 Midway Rd,Dallas,TX,75244,9722335170
Cityvet	Addison,5320 Belt Line Rd,Dallas,TX,75254,2142392346
Canyon Creek Animal Clinic,2717 Custer Pkwy,Richardson,TX,75080,9722341181
Arapaho Road Animal Clinic,739 W Arapaho Rd,Richardson,TX,75080,9722355215
North Tollway Pet Hospital,4727 Frankford Rd,Dallas,TX,75287,9727333340
Northwood Animal Clinic,13949 Peyton Dr,Dallas,TX,75001,9722338161
Prestonwood Pet Clinic,5242 Meadowcreek Dr,Dallas,TX,75248,9722337343
Midway Hollow Pet Clinic,3780 W Northwest Hwy,Dallas,TX,75220,2149020797
Pavillion Animal Hospital,7512 Campbell Rd,Dallas,TX,75248,9722488242
North Midway Animal Hospital,18110 Midway Rd,Dallas,TX,75287,9722502797
